	Time [s]	Minimum [MPa]	Maximum [MPa]	Average [MPa]	
1	1,	4,2528e-003	10298	9,3133	
2	2,	2,7184e-003	10179	9,1981	
3	3,	3,4809e-003	10083	9,1445	
4	4,	8,6069e-004	9979,9	9,1539	
5	5,	3,3487e-005	9818,8	9,1395	
6	6,	4,7306e-003	9641,9	9,0196	
7	7,	3,1899e-003	9862,1	8,9546	
8	8,	2,2461e-003	10070	8,9514	
9	9,	4,7338e-003	10279	9,0194	
10	10,	3,3415e-003	10444	9,0187	
11	11,	3,7453e-003	10560	9,0143	
12	12,	3,5202e-003	10655	9,0308	
13	13,	3,5716e-003	10712	9,0673	
14	14,	3,7693e-003	10719	9,058	
15	15,	3,4577e-003	10704	9,0681	
16	16,	3,8045e-003	10698	9,1304	
17	17,	3,7942e-003	10664	9,2088	
18	18,	3,9389e-003	10580	9,1932	
19	19,	3,7215e-003	10445	9,1075	
20	20,	3,7589e-003	10251	9,1141	
21	21,	3,6083e-003	10008	9,1106	
22	22,	3,7344e-003	9717,	9,0337	
23	23,	3,5407e-003	9745,9	9,0011	
24	24,	4,0102e-003	9912,5	9,0395	
25	25,	3,9784e-003	10103	9,0978	
26	26,	3,2321e-003	10250	9,086	
27	27,	3,8603e-003	10349	9,1287	
28	28,	3,9156e-003	10398	9,2093	
29	29,	2,9013e-003	10401	9,1903	
30	30,	3,3629e-003	10354	9,1791	
